"microorganism"	"antibiotic"
"Haemophilus sputorum"	"Pirlimycin"
"Haemophilus sputorum"	"Ramoplanin"
"Haemophilus sputorum"	"Tedizolid"
"Haemophilus sputorum"	"Teicoplanin"
"Haemophilus sputorum"	"Teicoplanin-macromethod"
"Haemophilus sputorum"	"Telavancin"
"Haemophilus sputorum"	"Thiacetazone"
"Haemophilus sputorum"	"Vancomycin"
"Hafnia"	"Avoparcin"
"Hafnia"	"Azithromycin"
"Hafnia"	"Clarithromycin"
"Hafnia"	"Clindamycin"
"Hafnia"	"Cycloserine"
"Hafnia"	"Dalbavancin"
"Hafnia"	"Dirithromycin"
"Hafnia"	"Erythromycin"
"Hafnia"	"Flurithromycin"
"Hafnia"	"Fusidic acid"
"Hafnia"	"Josamycin"
"Hafnia"	"Lincomycin"
"Hafnia"	"Linezolid"
"Hafnia"	"Midecamycin"
"Hafnia"	"Miocamycin"
"Hafnia"	"Norvancomycin"
"Hafnia"	"Oleandomycin"
"Hafnia"	"Oritavancin"
"Hafnia"	"Benzylpenicillin"
"Hafnia"	"Pirlimycin"
"Hafnia"	"Pristinamycin"
"Hafnia"	"Quinupristin/dalfopristin"
"Hafnia"	"Ramoplanin"
"Hafnia"	"Rifampicin"
"Hafnia"	"Rokitamycin"
"Hafnia"	"Roxithromycin"
"Hafnia"	"Spiramycin"
"Hafnia"	"Tedizolid"
"Hafnia"	"Teicoplanin"
"Hafnia"	"Teicoplanin-macromethod"
"Hafnia"	"Telavancin"
"Hafnia"	"Telithromycin"
"Hafnia"	"Thiacetazone"
"Hafnia"	"Troleandomycin"
"Hafnia"	"Vancomycin"
"Hafnia alvei"	"Amoxicillin"
"Hafnia alvei"	"Amoxicillin/clavulanic acid"
"Hafnia alvei"	"Ampicillin"
"Hafnia alvei"	"Ampicillin/sulbactam"
"Hafnia alvei"	"Avoparcin"
"Hafnia alvei"	"Azithromycin"
"Hafnia alvei"	"Cefadroxil"
"Hafnia alvei"	"Cefazolin"
"Hafnia alvei"	"Cefoxitin"
"Hafnia alvei"	"Cephalexin"
"Hafnia alvei"	"Cephalothin"
"Hafnia alvei"	"Clarithromycin"
"Hafnia alvei"	"Clindamycin"
"Hafnia alvei"	"Colistin"
"Hafnia alvei"	"Cycloserine"
"Hafnia alvei"	"Dalbavancin"
"Hafnia alvei"	"Dirithromycin"
"Hafnia alvei"	"Erythromycin"
"Hafnia alvei"	"Flurithromycin"
"Hafnia alvei"	"Fusidic acid"
"Hafnia alvei"	"Josamycin"
"Hafnia alvei"	"Lincomycin"
"Hafnia alvei"	"Linezolid"
"Hafnia alvei"	"Midecamycin"
"Hafnia alvei"	"Miocamycin"
"Hafnia alvei"	"Norvancomycin"
"Hafnia alvei"	"Oleandomycin"
"Hafnia alvei"	"Oritavancin"
"Hafnia alvei"	"Benzylpenicillin"
"Hafnia alvei"	"Pirlimycin"
"Hafnia alvei"	"Polymyxin B"
"Hafnia alvei"	"Pristinamycin"
"Hafnia alvei"	"Quinupristin/dalfopristin"
"Hafnia alvei"	"Ramoplanin"
"Hafnia alvei"	"Rifampicin"
"Hafnia alvei"	"Rokitamycin"
"Hafnia alvei"	"Roxithromycin"
"Hafnia alvei"	"Spiramycin"
"Hafnia alvei"	"Tedizolid"
"Hafnia alvei"	"Teicoplanin"
"Hafnia alvei"	"Teicoplanin-macromethod"
"Hafnia alvei"	"Telavancin"
"Hafnia alvei"	"Telithromycin"
"Hafnia alvei"	"Thiacetazone"
"Hafnia alvei"	"Troleandomycin"
"Hafnia alvei"	"Vancomycin"
"Hafnia paralvei"	"Avoparcin"
"Hafnia paralvei"	"Azithromycin"
"Hafnia paralvei"	"Clarithromycin"
"Hafnia paralvei"	"Clindamycin"
"Hafnia paralvei"	"Cycloserine"
"Hafnia paralvei"	"Dalbavancin"
"Hafnia paralvei"	"Dirithromycin"
"Hafnia paralvei"	"Erythromycin"
"Hafnia paralvei"	"Flurithromycin"
"Hafnia paralvei"	"Fusidic acid"
"Hafnia paralvei"	"Josamycin"
"Hafnia paralvei"	"Lincomycin"
"Hafnia paralvei"	"Linezolid"
"Hafnia paralvei"	"Midecamycin"
"Hafnia paralvei"	"Miocamycin"
"Hafnia paralvei"	"Norvancomycin"
"Hafnia paralvei"	"Oleandomycin"
"Hafnia paralvei"	"Oritavancin"
"Hafnia paralvei"	"Benzylpenicillin"
"Hafnia paralvei"	"Pirlimycin"
"Hafnia paralvei"	"Pristinamycin"
"Hafnia paralvei"	"Quinupristin/dalfopristin"
"Hafnia paralvei"	"Ramoplanin"
"Hafnia paralvei"	"Rifampicin"
"Hafnia paralvei"	"Rokitamycin"
"Hafnia paralvei"	"Roxithromycin"
"Hafnia paralvei"	"Spiramycin"
"Hafnia paralvei"	"Tedizolid"
"Hafnia paralvei"	"Teicoplanin"
"Hafnia paralvei"	"Teicoplanin-macromethod"
"Hafnia paralvei"	"Telavancin"
"Hafnia paralvei"	"Telithromycin"
"Hafnia paralvei"	"Thiacetazone"
"Hafnia paralvei"	"Troleandomycin"
"Hafnia paralvei"	"Vancomycin"
"Hafnia psychrotolerans"	"Avoparcin"
"Hafnia psychrotolerans"	"Azithromycin"
"Hafnia psychrotolerans"	"Clarithromycin"
"Hafnia psychrotolerans"	"Clindamycin"
"Hafnia psychrotolerans"	"Cycloserine"
"Hafnia psychrotolerans"	"Dalbavancin"
"Hafnia psychrotolerans"	"Dirithromycin"
"Hafnia psychrotolerans"	"Erythromycin"
"Hafnia psychrotolerans"	"Flurithromycin"
"Hafnia psychrotolerans"	"Fusidic acid"
"Hafnia psychrotolerans"	"Josamycin"
"Hafnia psychrotolerans"	"Lincomycin"
"Hafnia psychrotolerans"	"Linezolid"
"Hafnia psychrotolerans"	"Midecamycin"
"Hafnia psychrotolerans"	"Miocamycin"
"Hafnia psychrotolerans"	"Norvancomycin"
"Hafnia psychrotolerans"	"Oleandomycin"
"Hafnia psychrotolerans"	"Oritavancin"
"Hafnia psychrotolerans"	"Benzylpenicillin"
"Hafnia psychrotolerans"	"Pirlimycin"
"Hafnia psychrotolerans"	"Pristinamycin"
"Hafnia psychrotolerans"	"Quinupristin/dalfopristin"
"Hafnia psychrotolerans"	"Ramoplanin"
"Hafnia psychrotolerans"	"Rifampicin"
"Hafnia psychrotolerans"	"Rokitamycin"
"Hafnia psychrotolerans"	"Roxithromycin"
"Hafnia psychrotolerans"	"Spiramycin"
"Hafnia psychrotolerans"	"Tedizolid"
"Hafnia psychrotolerans"	"Teicoplanin"
"Hafnia psychrotolerans"	"Teicoplanin-macromethod"
"Hafnia psychrotolerans"	"Telavancin"
"Hafnia psychrotolerans"	"Telithromycin"
"Hafnia psychrotolerans"	"Thiacetazone"
"Hafnia psychrotolerans"	"Troleandomycin"
"Hafnia psychrotolerans"	"Vancomycin"
"Hafniaceae"	"Avoparcin"
"Hafniaceae"	"Azithromycin"
"Hafniaceae"	"Clarithromycin"
"Hafniaceae"	"Clindamycin"
"Hafniaceae"	"Cycloserine"
"Hafniaceae"	"Dalbavancin"
"Hafniaceae"	"Dirithromycin"
"Hafniaceae"	"Erythromycin"
"Hafniaceae"	"Flurithromycin"
"Hafniaceae"	"Fusidic acid"
"Hafniaceae"	"Josamycin"
"Hafniaceae"	"Lincomycin"
"Hafniaceae"	"Linezolid"
"Hafniaceae"	"Midecamycin"
"Hafniaceae"	"Miocamycin"
"Hafniaceae"	"Norvancomycin"
"Hafniaceae"	"Oleandomycin"
"Hafniaceae"	"Oritavancin"
"Hafniaceae"	"Benzylpenicillin"
"Hafniaceae"	"Pirlimycin"
"Hafniaceae"	"Pristinamycin"
"Hafniaceae"	"Quinupristin/dalfopristin"
"Hafniaceae"	"Ramoplanin"
"Hafniaceae"	"Rifampicin"
"Hafniaceae"	"Rokitamycin"
"Hafniaceae"	"Roxithromycin"
"Hafniaceae"	"Spiramycin"
"Hafniaceae"	"Tedizolid"
"Hafniaceae"	"Teicoplanin"
"Hafniaceae"	"Teicoplanin-macromethod"
"Hafniaceae"	"Telavancin"
"Hafniaceae"	"Telithromycin"
"Hafniaceae"	"Thiacetazone"
"Hafniaceae"	"Troleandomycin"
"Hafniaceae"	"Vancomycin"
"Halalkalibacillus"	"Aztreonam"
"Halalkalibacillus"	"Colistin"
"Halalkalibacillus"	"Nalidixic acid"
"Halalkalibacillus"	"Polymyxin B"
"Halalkalibacillus"	"Temocillin"
"Halalkalibacillus halophilus"	"Aztreonam"
"Halalkalibacillus halophilus"	"Colistin"
"Halalkalibacillus halophilus"	"Nalidixic acid"
"Halalkalibacillus halophilus"	"Polymyxin B"
"Halalkalibacillus halophilus"	"Temocillin"
"Halanaerobacter"	"Aztreonam"
"Halanaerobacter"	"Colistin"
"Halanaerobacter"	"Nalidixic acid"
"Halanaerobacter"	"Polymyxin B"
"Halanaerobacter"	"Temocillin"
"Halanaerobacter chitinivorans"	"Aztreonam"
"Halanaerobacter chitinivorans"	"Colistin"
"Halanaerobacter chitinivorans"	"Nalidixic acid"
"Halanaerobacter chitinivorans"	"Polymyxin B"
"Halanaerobacter chitinivorans"	"Temocillin"
"Halanaerobacter jeridensis"	"Aztreonam"
"Halanaerobacter jeridensis"	"Colistin"
"Halanaerobacter jeridensis"	"Nalidixic acid"
"Halanaerobacter jeridensis"	"Polymyxin B"
"Halanaerobacter jeridensis"	"Temocillin"
"Halanaerobacter lacunarum"	"Aztreonam"
"Halanaerobacter lacunarum"	"Colistin"
"Halanaerobacter lacunarum"	"Nalidixic acid"
"Halanaerobacter lacunarum"	"Polymyxin B"
"Halanaerobacter lacunarum"	"Temocillin"
"Halanaerobacter salinarius"	"Aztreonam"
"Halanaerobacter salinarius"	"Colistin"
"Halanaerobacter salinarius"	"Nalidixic acid"
"Halanaerobacter salinarius"	"Polymyxin B"
"Halanaerobacter salinarius"	"Temocillin"
"Halanaerobaculum"	"Aztreonam"
"Halanaerobaculum"	"Colistin"
"Halanaerobaculum"	"Nalidixic acid"
"Halanaerobaculum"	"Polymyxin B"
"Halanaerobaculum"	"Temocillin"
"Halanaerobaculum tunisiense"	"Aztreonam"
"Halanaerobaculum tunisiense"	"Colistin"
"Halanaerobaculum tunisiense"	"Nalidixic acid"
"Halanaerobaculum tunisiense"	"Polymyxin B"
"Halanaerobaculum tunisiense"	"Temocillin"
"Halanaerobiaceae"	"Aztreonam"
"Halanaerobiaceae"	"Colistin"
"Halanaerobiaceae"	"Nalidixic acid"
"Halanaerobiaceae"	"Polymyxin B"
"Halanaerobiaceae"	"Temocillin"
"Halanaerobiales"	"Aztreonam"
"Halanaerobiales"	"Colistin"
"Halanaerobiales"	"Nalidixic acid"
"Halanaerobiales"	"Polymyxin B"
"Halanaerobiales"	"Temocillin"
"Halanaerobium"	"Aztreonam"
"Halanaerobium"	"Colistin"
"Halanaerobium"	"Nalidixic acid"
"Halanaerobium"	"Polymyxin B"
"Halanaerobium"	"Temocillin"
"Halanaerobium acetethylicum"	"Aztreonam"
"Halanaerobium acetethylicum"	"Colistin"
"Halanaerobium acetethylicum"	"Nalidixic acid"
"Halanaerobium acetethylicum"	"Polymyxin B"
"Halanaerobium acetethylicum"	"Temocillin"
"Halanaerobium alcaliphilum"	"Aztreonam"
"Halanaerobium alcaliphilum"	"Colistin"
"Halanaerobium alcaliphilum"	"Nalidixic acid"
"Halanaerobium alcaliphilum"	"Polymyxin B"
"Halanaerobium alcaliphilum"	"Temocillin"
"Halanaerobium congolense"	"Aztreonam"
"Halanaerobium congolense"	"Colistin"
"Halanaerobium congolense"	"Nalidixic acid"
"Halanaerobium congolense"	"Polymyxin B"
"Halanaerobium congolense"	"Temocillin"
"Halanaerobium fermentans"	"Aztreonam"
"Halanaerobium fermentans"	"Colistin"
"Halanaerobium fermentans"	"Nalidixic acid"
"Halanaerobium fermentans"	"Polymyxin B"
"Halanaerobium fermentans"	"Temocillin"
"Halanaerobium kushneri"	"Aztreonam"
"Halanaerobium kushneri"	"Colistin"
"Halanaerobium kushneri"	"Nalidixic acid"
"Halanaerobium kushneri"	"Polymyxin B"
"Halanaerobium kushneri"	"Temocillin"
"Halanaerobium lacusrosei"	"Aztreonam"
"Halanaerobium lacusrosei"	"Colistin"
"Halanaerobium lacusrosei"	"Nalidixic acid"
"Halanaerobium lacusrosei"	"Polymyxin B"
"Halanaerobium lacusrosei"	"Temocillin"
"Halanaerobium praevalens"	"Aztreonam"
"Halanaerobium praevalens"	"Colistin"
"Halanaerobium praevalens"	"Nalidixic acid"
"Halanaerobium praevalens"	"Polymyxin B"
"Halanaerobium praevalens"	"Temocillin"
"Halanaerobium saccharolyticum"	"Aztreonam"
"Halanaerobium saccharolyticum"	"Colistin"
"Halanaerobium saccharolyticum"	"Nalidixic acid"
"Halanaerobium saccharolyticum"	"Polymyxin B"
"Halanaerobium saccharolyticum"	"Temocillin"
"Halanaerobium saccharolyticum senegalense"	"Aztreonam"
"Halanaerobium saccharolyticum senegalense"	"Colistin"
"Halanaerobium saccharolyticum senegalense"	"Nalidixic acid"
"Halanaerobium saccharolyticum senegalense"	"Polymyxin B"
"Halanaerobium saccharolyticum senegalense"	"Temocillin"
"Halanaerobium salsuginis"	"Aztreonam"
"Halanaerobium salsuginis"	"Colistin"
"Halanaerobium salsuginis"	"Nalidixic acid"
"Halanaerobium salsuginis"	"Polymyxin B"
"Halanaerobium salsuginis"	"Temocillin"
"Halanaerobium sehlinense"	"Aztreonam"
"Halanaerobium sehlinense"	"Colistin"
"Halanaerobium sehlinense"	"Nalidixic acid"
"Halanaerobium sehlinense"	"Polymyxin B"
"Halanaerobium sehlinense"	"Temocillin"
"Halarsenatibacter"	"Aztreonam"
"Halarsenatibacter"	"Colistin"
"Halarsenatibacter"	"Nalidixic acid"
"Halarsenatibacter"	"Polymyxin B"
"Halarsenatibacter"	"Temocillin"
"Halarsenatibacter silvermanii"	"Aztreonam"
"Halarsenatibacter silvermanii"	"Colistin"
"Halarsenatibacter silvermanii"	"Nalidixic acid"
"Halarsenatibacter silvermanii"	"Polymyxin B"
"Halarsenatibacter silvermanii"	"Temocillin"
"Haloactinobacterium"	"Aztreonam"
"Haloactinobacterium"	"Colistin"
"Haloactinobacterium"	"Nalidixic acid"
"Haloactinobacterium"	"Polymyxin B"
"Haloactinobacterium"	"Temocillin"
"Haloactinobacterium album"	"Aztreonam"
"Haloactinobacterium album"	"Colistin"
"Haloactinobacterium album"	"Nalidixic acid"
"Haloactinobacterium album"	"Polymyxin B"
"Haloactinobacterium album"	"Temocillin"
"Haloactinopolyspora"	"Aztreonam"
"Haloactinopolyspora"	"Colistin"
"Haloactinopolyspora"	"Nalidixic acid"
"Haloactinopolyspora"	"Polymyxin B"
"Haloactinopolyspora"	"Temocillin"
"Haloactinopolyspora alba"	"Aztreonam"
"Haloactinopolyspora alba"	"Colistin"
"Haloactinopolyspora alba"	"Nalidixic acid"
"Haloactinopolyspora alba"	"Polymyxin B"
"Haloactinopolyspora alba"	"Temocillin"
"Haloactinopolyspora alkaliphila"	"Aztreonam"
"Haloactinopolyspora alkaliphila"	"Colistin"
"Haloactinopolyspora alkaliphila"	"Nalidixic acid"
"Haloactinopolyspora alkaliphila"	"Polymyxin B"
"Haloactinopolyspora alkaliphila"	"Temocillin"
"Haloactinospora"	"Aztreonam"
"Haloactinospora"	"Colistin"
"Haloactinospora"	"Nalidixic acid"
"Haloactinospora"	"Polymyxin B"
"Haloactinospora"	"Temocillin"
"Haloactinospora alba"	"Aztreonam"
"Haloactinospora alba"	"Colistin"
"Haloactinospora alba"	"Nalidixic acid"
"Haloactinospora alba"	"Polymyxin B"
"Haloactinospora alba"	"Temocillin"
"Halobacillus"	"Aztreonam"
"Halobacillus"	"Colistin"
"Halobacillus"	"Nalidixic acid"
"Halobacillus"	"Polymyxin B"
"Halobacillus"	"Temocillin"
"Halobacillus aidingensis"	"Aztreonam"
"Halobacillus aidingensis"	"Colistin"
"Halobacillus aidingensis"	"Nalidixic acid"
"Halobacillus aidingensis"	"Polymyxin B"
"Halobacillus aidingensis"	"Temocillin"
"Halobacillus alkaliphilus"	"Aztreonam"
"Halobacillus alkaliphilus"	"Colistin"
"Halobacillus alkaliphilus"	"Nalidixic acid"
"Halobacillus alkaliphilus"	"Polymyxin B"
"Halobacillus alkaliphilus"	"Temocillin"
"Halobacillus andaensis"	"Aztreonam"
"Halobacillus andaensis"	"Colistin"
"Halobacillus andaensis"	"Nalidixic acid"
"Halobacillus andaensis"	"Polymyxin B"
"Halobacillus andaensis"	"Temocillin"
"Halobacillus campisalis"	"Aztreonam"
"Halobacillus campisalis"	"Colistin"
"Halobacillus campisalis"	"Nalidixic acid"
"Halobacillus campisalis"	"Polymyxin B"
"Halobacillus campisalis"	"Temocillin"
"Halobacillus dabanensis"	"Aztreonam"
"Halobacillus dabanensis"	"Colistin"
"Halobacillus dabanensis"	"Nalidixic acid"
"Halobacillus dabanensis"	"Polymyxin B"
"Halobacillus dabanensis"	"Temocillin"
"Halobacillus faecis"	"Aztreonam"
"Halobacillus faecis"	"Colistin"
"Halobacillus faecis"	"Nalidixic acid"
"Halobacillus faecis"	"Polymyxin B"
"Halobacillus faecis"	"Temocillin"
"Halobacillus halophilus"	"Aztreonam"
"Halobacillus halophilus"	"Colistin"
"Halobacillus halophilus"	"Nalidixic acid"
"Halobacillus halophilus"	"Polymyxin B"
"Halobacillus halophilus"	"Temocillin"
"Halobacillus karajensis"	"Aztreonam"
"Halobacillus karajensis"	"Colistin"
"Halobacillus karajensis"	"Nalidixic acid"
"Halobacillus karajensis"	"Polymyxin B"
"Halobacillus karajensis"	"Temocillin"
"Halobacillus kuroshimensis"	"Aztreonam"
"Halobacillus kuroshimensis"	"Colistin"
"Halobacillus kuroshimensis"	"Nalidixic acid"
"Halobacillus kuroshimensis"	"Polymyxin B"
"Halobacillus kuroshimensis"	"Temocillin"
"Halobacillus litoralis"	"Aztreonam"
"Halobacillus litoralis"	"Colistin"
"Halobacillus litoralis"	"Nalidixic acid"
"Halobacillus litoralis"	"Polymyxin B"
"Halobacillus litoralis"	"Temocillin"
"Halobacillus locisalis"	"Aztreonam"
"Halobacillus locisalis"	"Colistin"
"Halobacillus locisalis"	"Nalidixic acid"
"Halobacillus locisalis"	"Polymyxin B"
"Halobacillus locisalis"	"Temocillin"
"Halobacillus mangrovi"	"Aztreonam"
"Halobacillus mangrovi"	"Colistin"
"Halobacillus mangrovi"	"Nalidixic acid"
"Halobacillus mangrovi"	"Polymyxin B"
"Halobacillus mangrovi"	"Temocillin"
"Halobacillus naozhouensis"	"Aztreonam"
"Halobacillus naozhouensis"	"Colistin"
"Halobacillus naozhouensis"	"Nalidixic acid"
"Halobacillus naozhouensis"	"Polymyxin B"
"Halobacillus naozhouensis"	"Temocillin"
"Halobacillus profundi"	"Aztreonam"
"Halobacillus profundi"	"Colistin"
"Halobacillus profundi"	"Nalidixic acid"
"Halobacillus profundi"	"Polymyxin B"
"Halobacillus profundi"	"Temocillin"
"Halobacillus salicampi"	"Aztreonam"
"Halobacillus salicampi"	"Colistin"
"Halobacillus salicampi"	"Nalidixic acid"
"Halobacillus salicampi"	"Polymyxin B"
"Halobacillus salicampi"	"Temocillin"
"Halobacillus salinus"	"Aztreonam"
"Halobacillus salinus"	"Colistin"
"Halobacillus salinus"	"Nalidixic acid"
"Halobacillus salinus"	"Polymyxin B"
"Halobacillus salinus"	"Temocillin"
"Halobacillus salsuginis"	"Aztreonam"
"Halobacillus salsuginis"	"Colistin"
"Halobacillus salsuginis"	"Nalidixic acid"
"Halobacillus salsuginis"	"Polymyxin B"
"Halobacillus salsuginis"	"Temocillin"
"Halobacillus sediminis"	"Aztreonam"
"Halobacillus sediminis"	"Colistin"
"Halobacillus sediminis"	"Nalidixic acid"
"Halobacillus sediminis"	"Polymyxin B"
"Halobacillus sediminis"	"Temocillin"
"Halobacillus seohaensis"	"Aztreonam"
"Halobacillus seohaensis"	"Colistin"
"Halobacillus seohaensis"	"Nalidixic acid"
"Halobacillus seohaensis"	"Polymyxin B"
"Halobacillus seohaensis"	"Temocillin"
"Halobacillus trueperi"	"Aztreonam"
"Halobacillus trueperi"	"Colistin"
"Halobacillus trueperi"	"Nalidixic acid"
"Halobacillus trueperi"	"Polymyxin B"
"Halobacillus trueperi"	"Temocillin"
"Halobacillus yeomjeoni"	"Aztreonam"
"Halobacillus yeomjeoni"	"Colistin"
"Halobacillus yeomjeoni"	"Nalidixic acid"
"Halobacillus yeomjeoni"	"Polymyxin B"
"Halobacillus yeomjeoni"	"Temocillin"
"Halobacteroidaceae"	"Aztreonam"
"Halobacteroidaceae"	"Colistin"
"Halobacteroidaceae"	"Nalidixic acid"
"Halobacteroidaceae"	"Polymyxin B"
"Halobacteroidaceae"	"Temocillin"
"Halobacteroides"	"Aztreonam"
"Halobacteroides"	"Colistin"
"Halobacteroides"	"Nalidixic acid"
"Halobacteroides"	"Polymyxin B"
"Halobacteroides"	"Temocillin"
"Halobacteroides elegans"	"Aztreonam"
"Halobacteroides elegans"	"Colistin"
"Halobacteroides elegans"	"Nalidixic acid"
"Halobacteroides elegans"	"Polymyxin B"
"Halobacteroides elegans"	"Temocillin"
"Halobacteroides halobius"	"Aztreonam"
"Halobacteroides halobius"	"Colistin"
"Halobacteroides halobius"	"Nalidixic acid"
"Halobacteroides halobius"	"Polymyxin B"
"Halobacteroides halobius"	"Temocillin"
"Halocella"	"Aztreonam"
"Halocella"	"Colistin"
"Halocella"	"Nalidixic acid"
"Halocella"	"Polymyxin B"
"Halocella"	"Temocillin"
"Halocella cellulosilytica"	"Aztreonam"
"Halocella cellulosilytica"	"Colistin"
"Halocella cellulosilytica"	"Nalidixic acid"
"Halocella cellulosilytica"	"Polymyxin B"
"Halocella cellulosilytica"	"Temocillin"
"Haloechinothrix"	"Aztreonam"
"Haloechinothrix"	"Colistin"
"Haloechinothrix"	"Nalidixic acid"
"Haloechinothrix"	"Polymyxin B"
"Haloechinothrix"	"Temocillin"
"Haloechinothrix alba"	"Aztreonam"
"Haloechinothrix alba"	"Colistin"
"Haloechinothrix alba"	"Nalidixic acid"
"Haloechinothrix alba"	"Polymyxin B"
"Haloechinothrix alba"	"Temocillin"
"Haloechinothrix halophila"	"Aztreonam"
"Haloechinothrix halophila"	"Colistin"
"Haloechinothrix halophila"	"Nalidixic acid"
"Haloechinothrix halophila"	"Polymyxin B"
"Haloechinothrix halophila"	"Temocillin"
"Haloechinothrix salitolerans"	"Aztreonam"
"Haloechinothrix salitolerans"	"Colistin"
"Haloechinothrix salitolerans"	"Nalidixic acid"
"Haloechinothrix salitolerans"	"Polymyxin B"
"Haloechinothrix salitolerans"	"Temocillin"
"Haloglycomyces"	"Aztreonam"
"Haloglycomyces"	"Colistin"
"Haloglycomyces"	"Nalidixic acid"
"Haloglycomyces"	"Polymyxin B"
"Haloglycomyces"	"Temocillin"
"Haloglycomyces albus"	"Aztreonam"
"Haloglycomyces albus"	"Colistin"
"Haloglycomyces albus"	"Nalidixic acid"
"Haloglycomyces albus"	"Polymyxin B"
"Haloglycomyces albus"	"Temocillin"
"Haloimpatiens"	"Aztreonam"
"Haloimpatiens"	"Colistin"
"Haloimpatiens"	"Nalidixic acid"
"Haloimpatiens"	"Polymyxin B"
"Haloimpatiens"	"Temocillin"
"Haloimpatiens lingqiaonensis"	"Aztreonam"
"Haloimpatiens lingqiaonensis"	"Colistin"
"Haloimpatiens lingqiaonensis"	"Nalidixic acid"
"Haloimpatiens lingqiaonensis"	"Polymyxin B"
"Haloimpatiens lingqiaonensis"	"Temocillin"
"Halolactibacillus"	"Aztreonam"
"Halolactibacillus"	"Colistin"
"Halolactibacillus"	"Nalidixic acid"
"Halolactibacillus"	"Polymyxin B"
"Halolactibacillus"	"Temocillin"
"Halolactibacillus alkaliphilus"	"Aztreonam"
"Halolactibacillus alkaliphilus"	"Colistin"
"Halolactibacillus alkaliphilus"	"Nalidixic acid"
"Halolactibacillus alkaliphilus"	"Polymyxin B"
"Halolactibacillus alkaliphilus"	"Temocillin"
"Halolactibacillus halophilus"	"Aztreonam"
"Halolactibacillus halophilus"	"Colistin"
"Halolactibacillus halophilus"	"Nalidixic acid"
"Halolactibacillus halophilus"	"Polymyxin B"
"Halolactibacillus halophilus"	"Temocillin"
"Halolactibacillus miurensis"	"Aztreonam"
"Halolactibacillus miurensis"	"Colistin"
"Halolactibacillus miurensis"	"Nalidixic acid"
"Halolactibacillus miurensis"	"Polymyxin B"
"Halolactibacillus miurensis"	"Temocillin"
"Halonatronum"	"Aztreonam"
"Halonatronum"	"Colistin"
"Halonatronum"	"Nalidixic acid"
"Halonatronum"	"Polymyxin B"
"Halonatronum"	"Temocillin"
"Halonatronum saccharophilum"	"Aztreonam"
"Halonatronum saccharophilum"	"Colistin"
"Halonatronum saccharophilum"	"Nalidixic acid"
"Halonatronum saccharophilum"	"Polymyxin B"
"Halonatronum saccharophilum"	"Temocillin"
"Haloplasma"	"Aztreonam"
"Haloplasma"	"Colistin"
"Haloplasma"	"Nalidixic acid"
"Haloplasma"	"Polymyxin B"
"Haloplasma"	"Temocillin"
"Haloplasma contractile"	"Aztreonam"
"Haloplasma contractile"	"Colistin"
"Haloplasma contractile"	"Nalidixic acid"
"Haloplasma contractile"	"Polymyxin B"
"Haloplasma contractile"	"Temocillin"
"Haloplasmataceae"	"Aztreonam"
"Haloplasmataceae"	"Colistin"
"Haloplasmataceae"	"Nalidixic acid"
"Haloplasmataceae"	"Polymyxin B"
"Haloplasmataceae"	"Temocillin"
"Haloplasmatales"	"Aztreonam"
"Haloplasmatales"	"Colistin"
"Haloplasmatales"	"Nalidixic acid"
"Haloplasmatales"	"Polymyxin B"
"Haloplasmatales"	"Temocillin"
"Halopolyspora"	"Aztreonam"
"Halopolyspora"	"Colistin"
"Halopolyspora"	"Nalidixic acid"
"Halopolyspora"	"Polymyxin B"
"Halopolyspora"	"Temocillin"
"Halopolyspora alba"	"Aztreonam"
"Halopolyspora alba"	"Colistin"
"Halopolyspora alba"	"Nalidixic acid"
"Halopolyspora alba"	"Polymyxin B"
"Halopolyspora alba"	"Temocillin"
"Halopolyspora algeriensis"	"Aztreonam"
"Halopolyspora algeriensis"	"Colistin"
"Halopolyspora algeriensis"	"Nalidixic acid"
"Halopolyspora algeriensis"	"Polymyxin B"
"Halopolyspora algeriensis"	"Temocillin"
"Halothermothrix"	"Aztreonam"
"Halothermothrix"	"Colistin"
"Halothermothrix"	"Nalidixic acid"
"Halothermothrix"	"Polymyxin B"
"Halothermothrix"	"Temocillin"
"Halothermothrix orenii"	"Aztreonam"
"Halothermothrix orenii"	"Colistin"
"Halothermothrix orenii"	"Nalidixic acid"
"Halothermothrix orenii"	"Polymyxin B"
"Halothermothrix orenii"	"Temocillin"
"Hamadaea"	"Aztreonam"
"Hamadaea"	"Colistin"
"Hamadaea"	"Nalidixic acid"
"Hamadaea"	"Polymyxin B"
"Hamadaea"	"Temocillin"
"Hamadaea flava"	"Aztreonam"
"Hamadaea flava"	"Colistin"
"Hamadaea flava"	"Nalidixic acid"
"Hamadaea flava"	"Polymyxin B"
"Hamadaea flava"	"Temocillin"
"Hamadaea tsunoensis"	"Aztreonam"
"Hamadaea tsunoensis"	"Colistin"
"Hamadaea tsunoensis"	"Nalidixic acid"
"Hamadaea tsunoensis"	"Polymyxin B"
"Hamadaea tsunoensis"	"Temocillin"
"Harryflintia"	"Aztreonam"
"Harryflintia"	"Colistin"
"Harryflintia"	"Nalidixic acid"
"Harryflintia"	"Polymyxin B"
"Harryflintia"	"Temocillin"
"Harryflintia acetispora"	"Aztreonam"
"Harryflintia acetispora"	"Colistin"
"Harryflintia acetispora"	"Nalidixic acid"
"Harryflintia acetispora"	"Polymyxin B"
"Harryflintia acetispora"	"Temocillin"
"Hathewaya"	"Aztreonam"
"Hathewaya"	"Colistin"
